	FromNodeId	ToNodeId	Sign
0	10469	8922	1
1	6210	8922	1
2	5625	8922	1
3	2499	8922	1
4	3573	8922	1
5	6124	8922	1
6	8595	8922	1
7	1279	8922	1
8	9823	8922	1
9	1085	8922	1
10	3666	8922	1
11	2102	8922	1
12	9991	8922	1
13	7566	8922	1
14	10815	8922	1
15	6145	8922	1
16	11148	8922	1
17	3250	8922	1
18	719	8922	1
19	10778	8922	1
20	3886	8922	1
21	10480	8922	1
22	2245	8922	1
23	9300	8922	1
24	10933	8922	1
25	7097	8922	1
26	4179	8922	1
27	5727	8922	1
28	4299	8922	1
29	1146	8922	1
30	5616	8922	1
31	9415	8922	1
32	7157	8922	1
33	3353	8922	1
34	3592	8922	1
35	5864	8922	1
36	6277	8922	1
37	2614	8922	1
38	3804	8922	1
39	3974	8922	1
40	4907	8922	1
41	9050	8922	1
42	10721	8922	1
43	9310	8922	1
44	6352	8922	1
45	5283	8922	1
46	9084	8922	1
47	9477	8922	1
48	7970	8922	1
49	3393	8922	1
50	6574	8922	1
51	2757	8922	1
52	93	8922	1
53	11028	8922	1
54	10631	8922	1
55	8519	8922	1
56	2286	8922	1
57	2844	8922	1
58	5240	8922	1
59	381	8922	1
60	4413	8922	1
61	7511	8922	1
62	435	8922	1
63	5491	8922	1
64	4380	8922	1
65	6035	8922	1
66	2027	8922	1
67	5883	8922	1
68	6939	8922	1
69	181	8922	1
70	2432	8922	1
71	6625	8922	1
72	6928	8922	1
73	5675	8922	1
74	6864	8922	1
75	1239	8922	1
76	967	8922	1
77	3773	8922	1
78	5442	8922	1
79	6313	8922	1
80	5311	8922	1
81	10411	8922	1
82	8915	8922	1
83	6774	8922	1
84	1765	8922	1
85	1086	8922	1
86	131	8922	1
87	7711	8922	1
88	509	8922	1
89	6183	8922	1
90	8721	8922	1
91	4079	8922	1
92	8917	8922	1
93	4892	8922	1
94	6630	8922	1
95	3291	8922	1
96	1327	8922	1
97	9181	8922	1
98	4229	8922	1
99	6937	8922	1
100	6927	8922	1
101	643	8922	1
102	6653	8922	1
103	7494	8922	1
104	538	8922	1
105	11060	8922	1
106	6836	8922	1
107	4506	8922	1
108	8566	8922	1
109	10991	8922	1
110	1266	8922	1
111	5520	8922	1
112	954	8922	1
113	7372	8922	1
114	971	8922	1
115	2217	8922	1
116	1243	8922	1
117	233	8922	1
118	4696	8922	1
119	5070	8922	-1
120	2053	8922	-1
121	7337	8922	-1
122	5182	8922	-1
123	295	8922	-1
124	558	8922	-1
125	6009	8922	-1
126	1481	8922	-1
127	1361	8922	-1
128	5937	8922	-1
129	3058	8922	-1
130	6103	8922	-1
131	7698	8922	-1
132	10562	8922	-1
133	8954	8922	0
134	1650	8922	0
135	4195	8922	0
136	639	8922	0
137	2102	6973	1
138	6357	6973	1
139	6836	6973	1
140	10765	6973	1
141	6352	6973	1
142	3612	6973	1
143	6047	6973	1
144	10815	6973	1
145	10721	6973	1
146	7494	6973	1
147	3573	6973	1
148	10480	6973	1
149	3306	6973	1
150	9823	6973	1
151	9700	6973	1
152	6021	6973	1
153	9478	6973	1
154	10772	6973	1
155	9050	6973	1
156	5283	6973	1
157	1065	6973	1
